Kylie Jenner
Selena Gomez
Huda Kattan
Gigi Hadid
Chrissy Teigen
Zoella
Miranda Kerr
Chiara Ferragni
Emma Chamberlain
Karlie Kloss
Lele Pons
Lilly Singh
Hannah Meloche
Aimee Song
Negin Mirsalehi
Camila Coelho
Niki and Gabi
Tess Holliday
Kayla Itsines
Tanya Burr
Rachel Brathen
Huda Beauty
Jaclyn Hill
Michelle Phan
Zoë Sugg (Zoella)
Nikkie de Jager (NikkieTutorials)
Lea Michele
Justine Ezarik (iJustine)
Grace Helbig
Rosanna Pansino
Bethany Mota
Andrea Russett
Aspyn Ovard
Casey Holmes
Patricia Bright
Carli Bybel
Saffron Barker
Ingrid Nilsen
Anna Saccone-Joly
Kaushal Beauty
Amelia Liana
Samantha Maria
Carly Cristman
Tanya Burr
Laura Lee
Eleonora Carisi
Wengie
Alisha Marie
Remi Cruz
Sierra Furtado
Danielle Bernstein
Nikita Dragun
Chantelle Winnie
Rebecca Minkoff
Rumi Neely
Emily Weiss
Amber Fillerup Clark
Julie Sariñana
Chiara Biasi
Danielle Bernstein
Caroline Calloway
Tezza Barton
Danielle Prescod
Shea Marie
Emily Schuman
Kristina Bazan
Olivia Palermo
Aimee Song
Jamie Chung
Chriselle Lim
Tanya Burr
Marianna Hewitt
Louise Roe
Dolly Singh
Karen Wazen Bakhazi
Alaa Balkhy
Caroline Daur
Pernille Teisbaek
Blanca Miró Scrimieri
Evangelie Smyrniotaki
Camila Coelho
Julie Pelipas
Tamara Kalinic
Nicole Warne
Aimee Song
Sofie Valkiers
Negin Mirsalehi
Blair Eadie
Amanda Stanton
Kristin Cavallari
Jen Selter
Jen Atkin
Gizele Oliveira
Rosie Huntington-Whiteley
Hailey Bieber
Emily Ratajkowski
Candice Swanepoel
Miranda Kerr
Chiara Ferragni
Irene Kim
Aimee Song
Danielle Bernstein
Olivia Palermo
Lucy Williams
Chriselle Lim
Kristina Bazan
Aimee Song
Sazan Hendrix
Amy Jackson
Rhea Kapoor
Masoom Minawala
